id,cleaned_text,favorites,retweets,date,date_part,time_part,hour,year,month
1.03929e+18,"Just had calls with South Carolina Governor Henry McMaster, North Carolina Governor Roy Cooper, and Virginia Governor Ralph Northam regarding the incoming storm. Federal Government stands by, ready to assist 24/7.",59287,12049,2018-10-09 23:21:00,2018-10-09,23:21:00,23,2018,10
1.03929e+18,"My people just informed me that this is one of the worst storms to hit the East Coast in many years. Also, looking like a direct hit on North Carolina, South Carolina and Virginia. Please be prepared, be careful and be SAFE!",82124,17929,2018-10-09 23:17:00,2018-10-09,23:17:00,23,2018,10
1.03927e+18,"Was just briefed via phone by @DHSgov @SecNielsen and @FEMA @FEMA_Brock, along with @VP Mike Pence and Chief of Staff, John Kelly on incoming storm which is very dangerous. Heed the directions of your State and Local Officials - and know that WE are here for you. Be SAFE! ",42741,9859,2018-10-09 21:52:00,2018-10-09,21:52:00,21,2018,10
1.03926e+18,"Chuck Schumer is holding up 320 appointments (Ambassadors, Executives, etc.) of great people who have left jobs and given up so much in order to come into Government. Schumer and the Democrats continue to OBSTRUCT!",77096,23909,2018-10-09 21:18:00,2018-10-09,21:18:00,21,2018,10
1.03924e+18,"To the incredible citizens of North Carolina, South Carolina and the entire East Coast - the storm looks very bad! Please take all necessary precautions. We have already began mobilizing our assets to respond accordingly, and we are here for you! ",99910,22607,2018-10-09 19:41:00,2018-10-09,19:41:00,19,2018,10
1.03924e+18,The Storms in the Atlantic are very dangerous. We encourage anyone in the path of these storms to prepare themselves and to heed the warnings of State and Local officials. The Federal Government is closely monitoring and ready to assist. We are with you!,68815,14534,2018-10-09 19:35:00,2018-10-09,19:35:00,19,2018,10
1.03916e+18,"“President Trump would need a magic wand to get to 4% GDP,” stated President Obama. I guess I have a magic wand, 4.2%, and we will do MUCH better than this! We have just begun.",131415,34016,2018-10-09 14:42:00,2018-10-09,14:42:00,14,2018,10
1.03915e+18,"The Economy is soooo good, perhaps the best in our country’s history (remember, it’s the economy stupid!), that the Democrats are flailing &amp, lying like CRAZY! Phony books, articles and T.V. “hits” like no other pol has had to endure-and they are losing big. Very dishonest people!",76614,17604,2018-10-09 13:57:00,2018-10-09,13:57:00,13,2018,10
1.03913e+18,"“It is mostly anonymous sources in here, why should anyone trust you? General Mattis, General Kelly said it’s not true.” @SavannahGuthrie  @TODAYshow  Bob Woodward is a liar who is like a Dem operative prior to the Midterms. He was caught cold, even by NBC.",49233,11813,2018-10-09 12:36:00,2018-10-09,12:36:00,12,2018,10
1.03912e+18,"“I’m taking this book with a grain of salt &amp, everyone should do the same. Multiple sources, but almost every one of them has come out and discredited the claims made by Woodward. You cannot take this book too seriously.” Katelyn Caralle, Washington Examiner",46202,9811,2018-10-09 11:46:00,2018-10-09,11:46:00,11,2018,10
1.03912e+18,The White House is a “smooth running machine.” We are making some of the biggest and most important deals in our country’s history - with many more to come! The Dems are going crazy!,61335,13102,2018-10-09 11:35:00,2018-10-09,11:35:00,11,2018,10
1.03911e+18,The White House is running beautifully. We are making some of the greatest and most important deals in our countries history - with many more to come. Big progress!,7,6,2018-10-09 11:30:00,2018-10-09,11:30:00,11,2018,10
1.03911e+18,"The Woodward book is a Joke - just another assault against me, in a barrage of assaults, using now disproven unnamed and anonymous sources. Many have already come forward to say the quotes by them, like the book, are fiction. Dems can’t stand losing. I’ll write the real book!",65148,13635,2018-10-09 11:22:00,2018-10-09,11:22:00,11,2018,10
1.03911e+18,"If the Democrats had won the Election in 2016, GDP, which was about 1% and going down, would have been minus 4% instead of up 4.2%. I opened up our beautiful economic engine with Regulation and Tax Cuts. Our system was choking and would have been made worse. Still plenty to do!",56368,12789,2018-10-09 11:10:00,2018-10-09,11:10:00,11,2018,10
1.03911e+18,The GDP Rate (4.2%) is higher than the Unemployment Rate (3.9%) for the first time in over 100 years!,77832,20145,2018-10-09 11:03:00,2018-10-09,11:03:00,11,2018,10
1.03884e+18,Melania and I wish all Jewish people Shana Tova and send our warmest greetings to those celebrating Rosh Hashanah and the start of the High Holy Days... ,56880,12601,2018-09-09 17:28:00,2018-09-09,17:28:00,17,2018,9
1.03881e+18,...its commitment to denuclearize.” @FoxNews  This is a big and very positive statement from North Korea. Thank you To Chairman Kim. We will both prove everyone wrong! There is nothing like good dialogue from two people that like each other! Much better than before I took office.,60069,13749,2018-09-09 15:31:00,2018-09-09,15:31:00,15,2018,9
1.03881e+18,"North Korea has just staged their parade, celebrating 70th anniversary of founding, without the customary display of nuclear missiles. Theme was peace and economic development. “Experts believe that North Korea cut out the nuclear missiles to show President Trump......",70735,16670,2018-09-09 15:21:00,2018-09-09,15:21:00,15,2018,9
1.0388e+18,"Wow, NFL first game ratings are way down over an already really bad last year comparison. Viewership declined 13%, the lowest in over a decade. If the players stood proudly for our Flag and Anthem, and it is all shown on broadcast, maybe ratings could come back? Otherwise worse!",91564,18037,2018-09-09 14:42:00,2018-09-09,14:42:00,14,2018,9
1.03879e+18,"“Trump has set Economic Growth on fire. During his time in office, the economy has achieved feats most experts thought impossible. GDP is growing at a 3 percent-plus rate. The unemployment rate is near a 50 year low.” CNBC...Also, the Stock Market is up almost 50% since Election!",66887,15171,2018-09-09 14:12:00,2018-09-09,14:12:00,14,2018,9
1.03879e+18,"If the U.S. sells a car into China, there is a tax of 25%. If China sells a car into the U.S., there is a tax of 2%. Does anybody think that is FAIR? The days of the U.S. being ripped-off by other nations is OVER!",115492,26536,2018-09-09 14:01:00,2018-09-09,14:01:00,14,2018,9
1.03879e+18,“Ford has abruptly killed a plan to sell a Chinese-made small vehicle in the U.S. because of the prospect of higher U.S. Tariffs.” CNBC.  This is just the beginning. This car can now be BUILT IN THE U.S.A. and Ford will pay no tariffs!,71924,16155,2018-09-09 13:49:00,2018-09-09,13:49:00,13,2018,9
1.03878e+18,"“Barack Obama talked a lot about hope, but Donald Trump delivered the American Dream. All the economic indicators, what’s happening overseas, Donald Trump has proven to be far more successful than Barack Obama. President Trump is delivering the American Dream.” Jason Chaffetz",81781,20299,2018-09-09 13:32:00,2018-09-09,13:32:00,13,2018,9
1.03878e+18,"“Barrack Obama talked a lot about hope, but Donald Trump delivered the American Dream. All the economic indicators, what’s happening overseas, Donald Trump has proven to be far more successful than Barrack Obama. President Trump is delivering the American Dream.” Jason Chaffetz",15228,4613,2018-09-09 01:10:00,2018-09-09,01:10:00,1,2018,9
1.03861e+18,"So nice, thank you both! ",73607,15916,2018-09-09 01:51:00,2018-09-09,01:51:00,1,2018,9
1.0386e+18,"The Dems have tried every trick in the playbook-call me everything under the sun. But if I’m all of those terrible things, how come I beat them so badly, 306-223? Maybe they’re just not very good! The fact is they are going CRAZY only because they know they can’t beat me in 2020!",109651,24606,2018-09-09 01:47:00,2018-09-09,01:47:00,1,2018,9
