id,text,favorites,retweets,date,tweet_datetime,date_part,time_part,hour,year,month
8.73131e+17,great reporting many others thank,72059,11662,2017-09-06 10:54:00,2017-09-06 18:54:00,2017-09-06,18:54:00,18,2017,9
8.7312e+17,despite many false statement lie total complete vindication wow comey leaker,104596,29083,2017-09-06 10:10:00,2017-09-06 18:10:00,2017-09-06,18:10:00,18,2017,9
8.72419e+17,nominating christopher wray man impeccable credential new director fbi detail follow,81666,19893,2017-07-06 11:44:00,2017-07-06 19:44:00,2017-07-06,19:44:00,19,2017,7
8.72259e+17,senate passed va accountability act house get bill desk asap tolerate substandard care vet,86929,19692,2017-07-06 01:07:00,2017-07-06 09:07:00,2017-07-06,09:07:00,9,2017,7
8.72253e+17,announcement air traffic control initiative watch,35021,6061,2017-07-06 00:44:00,2017-07-06 08:44:00,2017-07-06,08:44:00,8,2017,7
8.72243e+17,great meeting leader including,37918,7300,2017-07-06 00:06:00,2017-07-06 08:06:00,2017-07-06,08:06:00,8,2017,7
8.7206e+17,fake msm working hard trying get use social medium hate get honest unfiltered message,93562,21850,2017-06-06 11:58:00,2017-06-06 19:58:00,2017-06-06,19:58:00,19,2017,6
8.72043e+17,big meeting today republican leadership concerning tax cut healthcare pushing hard must get right,60722,10297,2017-06-06 10:51:00,2017-06-06 18:51:00,2017-06-06,18:51:00,18,2017,6
8.719e+17,thats right need travel ban certain dangerous country politically correct term wont help u protect people,100801,24757,2017-06-06 01:20:00,2017-06-06 09:20:00,2017-06-06,09:20:00,9,2017,6
8.7184e+17,today announced air traffic control initiative take american air travel future finally,50346,10239,2017-05-06 21:25:00,2017-05-07 05:25:00,2017-05-07,05:25:00,5,2017,5
8.7183e+17,decision one biggest win veteran decade hero deserve best,36551,7724,2017-05-06 20:45:00,2017-05-07 04:45:00,2017-05-07,04:45:00,4,2017,5
8.71679e+17,event extreme vetting people coming u order help keep country safe court slow political,74751,15784,2017-05-06 10:44:00,2017-05-06 18:44:00,2017-05-06,18:44:00,18,2017,5
8.71677e+17,justice dept ask eedited hearing watered travel ban supreme court seek much tougher version,54989,11657,2017-05-06 10:37:00,2017-05-06 18:37:00,2017-05-06,18:37:00,18,2017,5
8.71675e+17,justice dept stayed original travel ban watered politically correct version submitted c,59471,12064,2017-05-06 10:29:00,2017-05-06 18:29:00,2017-05-06,18:29:00,18,2017,5
8.71674e+17,people lawyer court call whatever want calling need travel ban,74439,17109,2017-05-06 10:25:00,2017-05-06 18:25:00,2017-05-06,18:25:00,18,2017,5
8.71332e+17,notice gun debate right thats used knife truck,138238,39013,2017-04-06 11:43:00,2017-04-06 19:43:00,2017-04-06,19:43:00,19,2017,4
8.71328e+17,least dead wounded terror attack mayor london say reason alarmed,134291,49871,2017-04-06 11:31:00,2017-04-06 19:31:00,2017-04-06,19:31:00,19,2017,4
8.71326e+17,must stop politically correct get business security people dont get smart get worse,206161,59973,2017-04-06 11:19:00,2017-04-06 19:19:00,2017-04-06,19:19:00,19,2017,4
8.71146e+17,whatever united state help london u k god bless,225647,52309,2017-03-06 23:24:00,2017-03-07 07:24:00,2017-03-07,07:24:00,7,2017,3
8.71144e+17,need smart vigilant tough need court give u back right need travel ban extra level safety,148738,42167,2017-03-06 23:17:00,2017-03-07 07:17:00,2017-03-07,07:17:00,7,2017,3
8.70445e+17,make america great,137172,38073,2017-02-06 01:00:00,2017-02-06 09:00:00,2017-02-06,09:00:00,9,2017,2
8.70035e+17,wa honor welcome prime minister vietnam nguyễn xuân phúc afternoon,36908,5931,2017-05-31 21:52:00,2017-06-01 05:52:00,2017-06-01,05:52:00,5,2017,6
8.70008e+17,traveled world strengthen longstanding alliance form new partnership see,50951,10611,2017-05-31 20:04:00,2017-06-01 04:04:00,2017-06-01,04:04:00,4,2017,6
8.69875e+17,kathy griffin ashamed child especially year old son barron hard time sick,162687,42065,2017-05-31 11:14:00,2017-05-31 19:14:00,2017-05-31,19:14:00,19,2017,5
8.69867e+17,case want clear name showing false misleading testimony james comey john brennan witch hunt,49591,10302,2017-05-31 10:45:00,2017-05-31 18:45:00,2017-05-31,18:45:00,18,2017,5
8.69865e+17,reported democrat excoriated carter page russia dont want testify blow away,46768,10984,2017-05-31 10:37:00,2017-05-31 18:37:00,2017-05-31,18:37:00,18,2017,5
8.69858e+17,figure true meaning covfefe enjoy,177291,68046,2017-05-31 10:09:00,2017-05-31 18:09:00,2017-05-31,18:09:00,18,2017,5
8.69767e+17,despite constant negative press covfefe,162788,127507,2017-05-31 04:06:00,2017-05-31 12:06:00,2017-05-31,12:06:00,12,2017,5
8.6951e+17,russian official must laughing u lame excuse dems lost election ha taken fake news,71719,17293,2017-05-30 11:04:00,2017-05-30 19:04:00,2017-05-30,19:04:00,19,2017,5
8.69504e+17,massive trade deficit germany plus pay far le nato military bad u change,74449,18201,2017-05-30 10:40:00,2017-05-30 18:40:00,2017-05-30,18:40:00,18,2017,5
8.68985e+17,fake news medium work hard disparaging demeaning use social medium dont want america hear real story,97049,23520,2017-05-29 00:20:00,2017-05-29 08:20:00,2017-05-29,08:20:00,8,2017,5
8.68982e+17,massive tax cut reform submitted moving along process well actually ahead schedule big benefit,63451,12570,2017-05-29 00:07:00,2017-05-29 08:07:00,2017-05-29,08:07:00,8,2017,5
8.6898e+17,suggest add dollar healthcare make best anywhere obamacare dead republican much better,59297,10833,2017-05-28 23:57:00,2017-05-29 07:57:00,2017-05-29,07:57:00,7,2017,5
8.68407e+17,many nato country agreed step payment considerably money beginning pour nato much stronger,63901,13206,2017-05-27 10:03:00,2017-05-27 18:03:00,2017-05-27,18:03:00,18,2017,5
8.68406e+17,big g meeting today lot important matter discussion first list course terrorism,42964,7560,2017-05-27 09:58:00,2017-05-27 17:58:00,2017-05-27,17:58:00,17,2017,5
8.68205e+17,behalf melania thank wonderful dinner evening president sergio mattarella,53282,9696,2017-05-26 20:39:00,2017-05-27 04:39:00,2017-05-27,04:39:00,4,2017,5
8.68202e+17,terrorist engaged war civilization value life confront defeat evil,62849,16346,2017-05-26 20:26:00,2017-05-27 04:26:00,2017-05-27,04:26:00,4,2017,5
8.68048e+17,getting ready engage g leader many issue including economic growth terrorism security,53137,8968,2017-05-26 10:14:00,2017-05-26 18:14:00,2017-05-26,18:14:00,18,2017,5
8.68047e+17,arrived italy g trip ha successful made saved usa many billion dollar million job,61135,11033,2017-05-26 10:13:00,2017-05-26 18:13:00,2017-05-26,18:13:00,18,2017,5
8.67874e+17,arrived taormina melania,46363,7928,2017-05-25 22:44:00,2017-05-26 06:44:00,2017-05-26,06:44:00,6,2017,5
8.67834e+17,thank support together make america safe great,61822,13322,2017-05-25 20:06:00,2017-05-26 04:06:00,2017-05-26,04:06:00,4,2017,5
8.67473e+17,thank warm welcome brussels belgium afternoon,49163,8850,2017-05-24 20:11:00,2017-05-25 04:11:00,2017-05-25,04:11:00,4,2017,5
