id,cleaned_text,favorites,retweets,date,date_new,date_part,time_part,hour,year,month,cleaned_text2,emoji_free_tweets,url_free_tweets
1.07376e+18,"wow, but not surprisingly, obamacare was just ruled unconstitutional by a highly respected judge in texas. great news for america!",115432,25154,2018-12-15 02:16:00,2018-12-15 10:16:00,2018-12-15,10:16:00,10,2018,12,wow but not surprisingly obamacare was just ruled unconstitutional by a highly respected judge in texas great news for america,"wow, but not surprisingly, obamacare was just ruled unconstitutional by a highly respected judge in texas. great news for america!","wow, but not surprisingly, obamacare was just ruled unconstitutional by a highly respected judge in texas. great news for america!"
1.07376e+18,"as i predicted all along, obamacare has been struck down as an unconstitutional disaster! now congress must pass a strong law that provides great healthcare and protects pre-existing conditions. mitch and nancy, get it done!",115625,26515,2018-12-15 02:07:00,2018-12-15 10:07:00,2018-12-15,10:07:00,10,2018,12,as i predicted all along obamacare has been struck down as an unconstitutional disaster now congress must pass a strong law that provides great healthcare and protects preexisting conditions mitch and nancy get it done,"as i predicted all along, obamacare has been struck down as an unconstitutional disaster! now congress must pass a strong law that provides great healthcare and protects pre-existing conditions. mitch and nancy, get it done!","as i predicted all along, obamacare has been struck down as an unconstitutional disaster! now congress must pass a strong law that provides great healthcare and protects pre-existing conditions. mitch and nancy, get it done!"
1.07374e+18,"for the record, there were many people who wanted to be the white house chief of staff. mick m will do a great job!",62261,10704,2018-12-15 00:31:00,2018-12-15 08:31:00,2018-12-15,08:31:00,8,2018,12,for the record there were many people who wanted to be the white house chief of staff mick m will do a great job,"for the record, there were many people who wanted to be the white house chief of staff. mick m will do a great job!","for the record, there were many people who wanted to be the white house chief of staff. mick m will do a great job!"
1.07364e+18,thank you to @tim_cook for agreeing to expand operations in the u.s. and thereby creating thousands of jobs! ,53045,10714,2018-12-14 18:19:00,2018-12-15 02:19:00,2018-12-15,02:19:00,2,2018,12,thank you to timcook for agreeing to expand operations in the us and thereby creating thousands of jobs,thank you to @tim_cook for agreeing to expand operations in the u.s. and thereby creating thousands of jobs!,thank you to @tim_cook for agreeing to expand operations in the u.s. and thereby creating thousands of jobs!
1.07362e+18,"china just announced that their economy is growing much slower than anticipated because of our trade war with them. they have just suspended u.s. tariff hikes. u.s. is doing very well. china wants to make a big and very comprehensive deal. it could happen, and rather soon!",112544,22306,2018-12-14 16:35:00,2018-12-15 00:35:00,2018-12-15,00:35:00,0,2018,12,china just announced that their economy is growing much slower than anticipated because of our trade war with them they have just suspended us tariff hikes us is doing very well china wants to make a big and very comprehensive deal it could happen and rather soon,"china just announced that their economy is growing much slower than anticipated because of our trade war with them. they have just suspended u.s. tariff hikes. u.s. is doing very well. china wants to make a big and very comprehensive deal. it could happen, and rather soon!","china just announced that their economy is growing much slower than anticipated because of our trade war with them. they have just suspended u.s. tariff hikes. u.s. is doing very well. china wants to make a big and very comprehensive deal. it could happen, and rather soon!"
1.07362e+18,"china just announce the there economy is growing much slower than anticipated because of our trade war with them. they have just suspended u.s. tariff hikes. u.s. is doing very well. china wants to make a big and very comprehensive deal. it could happen, and rather soon!",10439,2749,2018-12-14 04:25:00,2018-12-14 12:25:00,2018-12-14,12:25:00,12,2018,12,china just announce the there economy is growing much slower than anticipated because of our trade war with them they have just suspended us tariff hikes us is doing very well china wants to make a big and very comprehensive deal it could happen and rather soon,"china just announce the there economy is growing much slower than anticipated because of our trade war with them. they have just suspended u.s. tariff hikes. u.s. is doing very well. china wants to make a big and very comprehensive deal. it could happen, and rather soon!","china just announce the there economy is growing much slower than anticipated because of our trade war with them. they have just suspended u.s. tariff hikes. u.s. is doing very well. china wants to make a big and very comprehensive deal. it could happen, and rather soon!"
1.07333e+18,"let’s not do a shutdown, democrats - do what’s right for the american people! ",111986,31783,2018-12-13 21:21:00,2018-12-14 05:21:00,2018-12-14,05:21:00,5,2018,12,let’s not do a shutdown democrats  do what’s right for the american people,"let’s not do a shutdown, democrats - do what’s right for the american people!","let’s not do a shutdown, democrats - do what’s right for the american people!"
1.07331e+18,"today, it was my honor to welcome our nation’s newly elected governors to the @whitehouse! ",50144,8845,2018-12-13 20:24:00,2018-12-14 04:24:00,2018-12-14,04:24:00,4,2018,12,today it was my honor to welcome our nation’s newly elected governors to the whitehouse,"today, it was my honor to welcome our nation’s newly elected governors to the @whitehouse!","today, it was my honor to welcome our nation’s newly elected governors to the @whitehouse!"
1.07328e+18,happy 382nd birthday @usnationalguard. our entire nation is forever grateful for all you do 24/7/365. we love you! #guard382 ,52532,10778,2018-12-13 18:13:00,2018-12-14 02:13:00,2018-12-14,02:13:00,2,2018,12,happy  birthday usnationalguard our entire nation is forever grateful for all you do  we love you ,happy 382nd birthday @usnationalguard. our entire nation is forever grateful for all you do 24/7/365. we love you! #guard382,happy 382nd birthday @usnationalguard. our entire nation is forever grateful for all you do 24/7/365. we love you! #guard382
1.07328e+18,"just did an interview with @harrisfaulkner on @foxnews, airing now (1pme.) enjoy!",39820,6132,2018-12-13 18:00:00,2018-12-14 02:00:00,2018-12-14,02:00:00,2,2018,12,just did an interview with harrisfaulkner on foxnews airing now  enjoy,"just did an interview with @harrisfaulkner on @foxnews, airing now (1pme.) enjoy!","just did an interview with @harrisfaulkner on @foxnews, airing now (1pme.) enjoy!"
1.07325e+18,they gave general flynn a great deal because they were embarrassed by the way he was treated - the fbi said he didn’t lie and they overrode the fbi. they want to scare everybody into making up stories that are not true by catching them in the smallest of misstatements. sad!......,84097,19414,2018-12-13 16:07:00,2018-12-14 00:07:00,2018-12-14,00:07:00,0,2018,12,they gave general flynn a great deal because they were embarrassed by the way he was treated  the fbi said he didn’t lie and they overrode the fbi they want to scare everybody into making up stories that are not true by catching them in the smallest of misstatements sad,they gave general flynn a great deal because they were embarrassed by the way he was treated - the fbi said he didn’t lie and they overrode the fbi. they want to scare everybody into making up stories that are not true by catching them in the smallest of misstatements. sad!......,they gave general flynn a great deal because they were embarrassed by the way he was treated - the fbi said he didn’t lie and they overrode the fbi. they want to scare everybody into making up stories that are not true by catching them in the smallest of misstatements. sad!......
1.07321e+18,"....guilty even on a civil basis. those charges were just agreed to by him in order to embarrass the president and get a much reduced prison sentence, which he did-including the fact that his family was temporarily let off the hook. as a lawyer, michael has great liability to me!",63522,12570,2018-12-13 13:39:00,2018-12-13 21:39:00,2018-12-13,21:39:00,21,2018,12,guilty even on a civil basis those charges were just agreed to by him in order to embarrass the president and get a much reduced prison sentence which he didincluding the fact that his family was temporarily let off the hook as a lawyer michael has great liability to me,"....guilty even on a civil basis. those charges were just agreed to by him in order to embarrass the president and get a much reduced prison sentence, which he did-including the fact that his family was temporarily let off the hook. as a lawyer, michael has great liability to me!","....guilty even on a civil basis. those charges were just agreed to by him in order to embarrass the president and get a much reduced prison sentence, which he did-including the fact that his family was temporarily let off the hook. as a lawyer, michael has great liability to me!"
1.07321e+18,"....guilty even on a civil bases. those charges were just agreed to by him in order to embarrass the president and get a much reduced prison sentence, which he did-including the fact that his family was temporarily let off the hook. as a lawyer, michael has great liability to me!",4213,1207,2018-12-13 01:34:00,2018-12-13 09:34:00,2018-12-13,09:34:00,9,2018,12,guilty even on a civil bases those charges were just agreed to by him in order to embarrass the president and get a much reduced prison sentence which he didincluding the fact that his family was temporarily let off the hook as a lawyer michael has great liability to me,"....guilty even on a civil bases. those charges were just agreed to by him in order to embarrass the president and get a much reduced prison sentence, which he did-including the fact that his family was temporarily let off the hook. as a lawyer, michael has great liability to me!","....guilty even on a civil bases. those charges were just agreed to by him in order to embarrass the president and get a much reduced prison sentence, which he did-including the fact that his family was temporarily let off the hook. as a lawyer, michael has great liability to me!"
1.07321e+18,"....stated that i did nothing wrong with respect to campaign finance laws, if they even apply, because this was not campaign finance. cohen was guilty on many charges unrelated to me, but he plead to two campaign charges which were not criminal and of which he probably was not...",62025,13039,2018-12-13 13:25:00,2018-12-13 21:25:00,2018-12-13,21:25:00,21,2018,12,stated that i did nothing wrong with respect to campaign finance laws if they even apply because this was not campaign finance cohen was guilty on many charges unrelated to me but he plead to two campaign charges which were not criminal and of which he probably was not,"....stated that i did nothing wrong with respect to campaign finance laws, if they even apply, because this was not campaign finance. cohen was guilty on many charges unrelated to me, but he plead to two campaign charges which were not criminal and of which he probably was not...","....stated that i did nothing wrong with respect to campaign finance laws, if they even apply, because this was not campaign finance. cohen was guilty on many charges unrelated to me, but he plead to two campaign charges which were not criminal and of which he probably was not..."
1.07321e+18,"i never directed michael cohen to break the law. he was a lawyer and he is supposed to know the law. it is called “advice of counsel,” and a lawyer has great liability if a mistake is made. that is why they get paid. despite that many campaign finance lawyers have strongly......",68093,14587,2018-12-13 13:17:00,2018-12-13 21:17:00,2018-12-13,21:17:00,21,2018,12,i never directed michael cohen to break the law he was a lawyer and he is supposed to know the law it is called “advice of counsel” and a lawyer has great liability if a mistake is made that is why they get paid despite that many campaign finance lawyers have strongly,"i never directed michael cohen to break the law. he was a lawyer and he is supposed to know the law. it is called “advice of counsel,” and a lawyer has great liability if a mistake is made. that is why they get paid. despite that many campaign finance lawyers have strongly......","i never directed michael cohen to break the law. he was a lawyer and he is supposed to know the law. it is called “advice of counsel,” and a lawyer has great liability if a mistake is made. that is why they get paid. despite that many campaign finance lawyers have strongly......"
1.0732e+18,"i often stated, “one way or the other, mexico is going to pay for the wall.” this has never changed. our new deal with mexico (and canada), the usmca, is so much better than the old, very costly &amp, anti-usa nafta deal, that just by the money we save, mexico is paying for the wall!",102664,22443,2018-12-13 12:38:00,2018-12-13 20:38:00,2018-12-13,20:38:00,20,2018,12,i often stated “one way or the other mexico is going to pay for the wall” this has never changed our new deal with mexico and canada the usmca is so much better than the old very costly amp antiusa nafta deal that just by the money we save mexico is paying for the wall,"i often stated, “one way or the other, mexico is going to pay for the wall.” this has never changed. our new deal with mexico (and canada), the usmca, is so much better than the old, very costly &amp, anti-usa nafta deal, that just by the money we save, mexico is paying for the wall!","i often stated, “one way or the other, mexico is going to pay for the wall.” this has never changed. our new deal with mexico (and canada), the usmca, is so much better than the old, very costly &amp, anti-usa nafta deal, that just by the money we save, mexico is paying for the wall!"
1.073e+18,.@flotus melania will be interviewed by @seanhannity tonight on @foxnews at 9:00pme!,66439,10526,2018-12-12 23:50:00,2018-12-13 07:50:00,2018-12-13,07:50:00,7,2018,12,flotus melania will be interviewed by seanhannity tonight on foxnews at ,.@flotus melania will be interviewed by @seanhannity tonight on @foxnews at 9:00pme!,.@flotus melania will be interviewed by @seanhannity tonight on @foxnews at 9:00pme!
1.07284e+18,"the democrats and president obama gave iran 150 billion dollars and got nothing, but they can’t give 5 billion dollars for national security and a wall?",169747,50714,2018-12-12 12:50:00,2018-12-12 20:50:00,2018-12-12,20:50:00,20,2018,12,the democrats and president obama gave iran  billion dollars and got nothing but they can’t give  billion dollars for national security and a wall,"the democrats and president obama gave iran 150 billion dollars and got nothing, but they can’t give 5 billion dollars for national security and a wall?","the democrats and president obama gave iran 150 billion dollars and got nothing, but they can’t give 5 billion dollars for national security and a wall?"
1.07283e+18,another very bad terror attack in france. we are going to strengthen our borders even more. chuck and nancy must give us the votes to get additional border security!,142805,30026,2018-12-12 12:34:00,2018-12-12 20:34:00,2018-12-12,20:34:00,20,2018,12,another very bad terror attack in france we are going to strengthen our borders even more chuck and nancy must give us the votes to get additional border security,another very bad terror attack in france. we are going to strengthen our borders even more. chuck and nancy must give us the votes to get additional border security!,another very bad terror attack in france. we are going to strengthen our borders even more. chuck and nancy must give us the votes to get additional border security!
1.07261e+18,thanks to leader mcconnell for agreeing to bring a senate vote on criminal justice this week! these historic changes will make communities safer and save tremendous taxpayers dollars. it brings much needed hope to many families during the holiday season.,91022,17917,2018-11-12 22:09:00,2018-11-13 06:09:00,2018-11-13,06:09:00,6,2018,11,thanks to leader mcconnell for agreeing to bring a senate vote on criminal justice this week these historic changes will make communities safer and save tremendous taxpayers dollars it brings much needed hope to many families during the holiday season,thanks to leader mcconnell for agreeing to bring a senate vote on criminal justice this week! these historic changes will make communities safer and save tremendous taxpayers dollars. it brings much needed hope to many families during the holiday season.,thanks to leader mcconnell for agreeing to bring a senate vote on criminal justice this week! these historic changes will make communities safer and save tremendous taxpayers dollars. it brings much needed hope to many families during the holiday season.
1.07257e+18,“i don’t care what you think of the president...it cannot bleed over to the fbi...comey is confirming there is bias in the fbi...” -chris swecker,84420,18749,2018-11-12 18:55:00,2018-11-13 02:55:00,2018-11-13,02:55:00,2,2018,11,“i don’t care what you think of the presidentit cannot bleed over to the fbicomey is confirming there is bias in the fbi” chris swecker,“i don’t care what you think of the president...it cannot bleed over to the fbi...comey is confirming there is bias in the fbi...” -chris swecker,“i don’t care what you think of the president...it cannot bleed over to the fbi...comey is confirming there is bias in the fbi...” -chris swecker
1.07256e+18,"james comey just totally exposed his partisan stance by urging his fellow democrats to take back the white house in 2020. in other words, he is and has been a democrat. comey had no right heading the fbi at any time, but especially after his mind exploded!",90471,21258,2018-11-12 18:50:00,2018-11-13 02:50:00,2018-11-13,02:50:00,2,2018,11,james comey just totally exposed his partisan stance by urging his fellow democrats to take back the white house in  in other words he is and has been a democrat comey had no right heading the fbi at any time but especially after his mind exploded,"james comey just totally exposed his partisan stance by urging his fellow democrats to take back the white house in 2020. in other words, he is and has been a democrat. comey had no right heading the fbi at any time, but especially after his mind exploded!","james comey just totally exposed his partisan stance by urging his fellow democrats to take back the white house in 2020. in other words, he is and has been a democrat. comey had no right heading the fbi at any time, but especially after his mind exploded!"
1.06962e+18,"bob mueller (who is a much different man than people think) and his out of control band of angry democrats, don’t want the truth, they only want lies. the truth is very bad for their mission!",86458,21084,2018-03-12 15:56:00,2018-03-12 23:56:00,2018-03-12,23:56:00,23,2018,3,bob mueller who is a much different man than people think and his out of control band of angry democrats don’t want the truth they only want lies the truth is very bad for their mission,"bob mueller (who is a much different man than people think) and his out of control band of angry democrats, don’t want the truth, they only want lies. the truth is very bad for their mission!","bob mueller (who is a much different man than people think) and his out of control band of angry democrats, don’t want the truth, they only want lies. the truth is very bad for their mission!"
1.07248e+18,"fake news has it purposely wrong. many, over ten, are vying for and wanting the white house chief of staff position. why wouldn’t someone want one of the truly great and meaningful jobs in washington. please report news correctly. thank you!",79287,16668,2018-11-12 13:30:00,2018-11-12 21:30:00,2018-11-12,21:30:00,21,2018,11,fake news has it purposely wrong many over ten are vying for and wanting the white house chief of staff position why wouldn’t someone want one of the truly great and meaningful jobs in washington please report news correctly thank you,"fake news has it purposely wrong. many, over ten, are vying for and wanting the white house chief of staff position. why wouldn’t someone want one of the truly great and meaningful jobs in washington. please report news correctly. thank you!","fake news has it purposely wrong. many, over ten, are vying for and wanting the white house chief of staff position. why wouldn’t someone want one of the truly great and meaningful jobs in washington. please report news correctly. thank you!"
1.07248e+18,very productive conversations going on with china! watch for some important announcements!,70659,13448,2018-11-12 13:19:00,2018-11-12 21:19:00,2018-11-12,21:19:00,21,2018,11,very productive conversations going on with china watch for some important announcements,very productive conversations going on with china! watch for some important announcements!,very productive conversations going on with china! watch for some important announcements!
1.07248e+18,great job by michael anton on @foxandfriends. a true national security expert!,41373,7136,2018-11-12 13:11:00,2018-11-12 21:11:00,2018-11-12,21:11:00,21,2018,11,great job by michael anton on foxandfriends a true national security expert,great job by michael anton on @foxandfriends. a true national security expert!,great job by michael anton on @foxandfriends. a true national security expert!
1.07247e+18,"....people do not yet realize how much of the wall, including really effective renovation, has already been built. if the democrats do not give us the votes to secure our country, the military will build the remaining sections of the wall. they know how important it is!",104279,23224,2018-11-12 12:42:00,2018-11-12 20:42:00,2018-11-12,20:42:00,20,2018,11,people do not yet realize how much of the wall including really effective renovation has already been built if the democrats do not give us the votes to secure our country the military will build the remaining sections of the wall they know how important it is,"....people do not yet realize how much of the wall, including really effective renovation, has already been built. if the democrats do not give us the votes to secure our country, the military will build the remaining sections of the wall. they know how important it is!","....people do not yet realize how much of the wall, including really effective renovation, has already been built. if the democrats do not give us the votes to secure our country, the military will build the remaining sections of the wall. they know how important it is!"
1.07247e+18,".....i look forward to my meeting with chuck schumer &amp, nancy pelosi. in 2006, democrats voted for a wall, and they were right to do so. today, they no longer want border security. they will fight it at all cost, and nancy must get votes for speaker. but the wall will get built...",59748,12417,2018-11-12 12:30:00,2018-11-12 20:30:00,2018-11-12,20:30:00,20,2018,11,i look forward to my meeting with chuck schumer amp nancy pelosi in  democrats voted for a wall and they were right to do so today they no longer want border security they will fight it at all cost and nancy must get votes for speaker but the wall will get built,".....i look forward to my meeting with chuck schumer &amp, nancy pelosi. in 2006, democrats voted for a wall, and they were right to do so. today, they no longer want border security. they will fight it at all cost, and nancy must get votes for speaker. but the wall will get built...",".....i look forward to my meeting with chuck schumer &amp, nancy pelosi. in 2006, democrats voted for a wall, and they were right to do so. today, they no longer want border security. they will fight it at all cost, and nancy must get votes for speaker. but the wall will get built..."
1.07246e+18,"....however, for strictly political reasons and because they have been pulled so far left, do not want border security. they want open borders for anyone to come in. this brings large scale crime and disease. our southern border is now secure and will remain that way.......",80447,16922,2018-11-12 12:12:00,2018-11-12 20:12:00,2018-11-12,20:12:00,20,2018,11,however for strictly political reasons and because they have been pulled so far left do not want border security they want open borders for anyone to come in this brings large scale crime and disease our southern border is now secure and will remain that way,"....however, for strictly political reasons and because they have been pulled so far left, do not want border security. they want open borders for anyone to come in. this brings large scale crime and disease. our southern border is now secure and will remain that way.......","....however, for strictly political reasons and because they have been pulled so far left, do not want border security. they want open borders for anyone to come in. this brings large scale crime and disease. our southern border is now secure and will remain that way......."
